64621.259,,,"COGENS CHECK: filosofie: cogens vervullen eigen e-behoefte en exporteren elektric naar grid",,,,,,,
"Current grids",,,,,,,,"COGENS",,
,,,,,,,,"C4",,
"A","380 kV electricity grid TenneT",,,,,,,"C14",,
"B","150 kV electricity grid TenneT",,,,,,,"C15",,
"C","66/23/20/10 kV grid Stedin",,,,,,,"C23",,
"D","Natural gas grid GTS",,,,,,,"C29","enecal, voedt meteen in op substation TenneT150",
"E","H2 grid Air Products",,,,,,,"C30","eurogen, voedt meteen in op substation TenneT150",
"F","H2 grid Air Liquide","gtsgrid1a","gtsgrid2b",,,,,"C36","Air Products WKC, voedt meteen in op TenneT150",
"G","Steam grid Uniper (Maasvlakte)","gtsgrid1b","gtsgrid2c",,,,,"C37",,
"H","Steam grid Air Liquide (Botlek)",,"gtsgrid2d",,,,,"C44","Cogen Nouryon voedt brine electrolyzer (C46) Nouryon",
"I","Steam grid Stedin (Botlek)",,,,,,,"C52","Cogen voedt alleen aan Exxon ref",
"J","Heat grid (warmte alliantie)",,,,,,,"C63","Pergen voedt Shell, overschot aan TenneT",
,,,,,,,,"C64","Pergen voedt Shell, overschot aan TenneT",
,,,,,,,,,,
,,,,,,,,,,
"Line ID unique [string]","From – conversion asset – unique [sting] (Market/Environment  are also possible)","To – conversion asset – unique [sting]","Feedstock carried","Maximum capacity link [MW]","Owner","CAPEX","Status","Linelengths_km","demand/production","InvestID_electricity"
"c37d19InternalElectricity","C37","D19","Electricity",70,"Lyondell_Bot","UNDEF","Existing",100000,0,
"BotA_MerseyHuntsmand20InternalElectricity","BotA_MerseyHuntsman","D20","Electricity",13,"Huntsman","UNDEF","Existing",100000,0,
"GTS3dc34InternalGas","GTS3d","C34","Natgas",15,"GTS","UNDEF","Existing",100000,0,
"GTS3dc35InternalGas","GTS3d","C35","Natgas",6,"GTS","UNDEF","Existing",100000,0,
"GTS1dc36InternalGas","GTS1d","C36","Natgas",390,"GTS","UNDEF","Existing",100000,0,
"GTS1dc37internalGas","GTS1d","C37","Natgas",226,"GTS","UNDEF","Existing",100000,0,
"StedinGerbrandd21InternalElectricity","StedinGerbrand","D21","Electricity",13,"Stedin","UNDEF","Existing",100000,0,
"c39d21InternalHtheat","C39","D21","Htheat",40000,"Tronox","UNDEF","Existing",100000,0,
"StedinGerbrandd22InternalElectricity","StedinGerbrand","D22","Electricity",13,"Stedin","UNDEF","Existing",100000,0,
"c41d22InternalHtheat","C41","D22","Htheat",40000,"Cabot","UNDEF","Existing",100000,0,
"c42d22InternalHtheat","C42","D22","Htheat",40000,"Cabot","UNDEF","Existing",100000,0,
"StedinGerbrandd23InternalElectricity","StedinGerbrand","D23","Electricity",13,"Stedin","UNDEF","Existing",100000,0,
"StedinSteam6d23Internalsteam","StedinSteam6","D23","Steam",40000,"Stedin","UNDEF","Existing",100000,0,
"c43d23Internalsteam","C43","D23","Steam",40000,"EKC","UNDEF","Existing",100000,0,
"Wastesupplyc38InternalWaste","Wastesupply","C38","Waste",40000,"AVR","UNDEF","Existing",100000,0,
"c38StedinSteam5","C38","StedinSteam5","Steam",40000,"Stedin","UNDEF","Existing",100000,0,
"GTS3dc39InternalGas","GTS3d","C39","Natgas",70,"GTS","UNDEF","Existing",100000,0,
"Resfuelsupplyc40InternalResfuel","Resfuelsupply","C40","Resfuel",40000,"Cabot","UNDEF","Existing",100000,0,
"c40StedinGerbrandInternalElectricity","C40","StedinGerbrand","Electricity",15,"Stedin","UNDEF","Existing",100000,0,
"Resfuelsupplyc41InternalResfuel","Resfuelsupply","C41","Resfuel",40000,"Cabot","UNDEF","Existing",100000,0,
"GTS3dc42InternalGas","GTS3d","C42","Natgas",38,"GTS","UNDEF","Existing",100000,0,
"GTS3dc43InternalGas","GTS3d","C43","Natgas",41,"GTS","UNDEF","Existing",100000,0,
"SteamgridStedin","StedinSteam5","StedinSteam6","Steam",40000,"Stedin","UNDEF","Existing",100000,0,
"c44d24InternalSteam","C44","D24","Steam",40000,"Nouryon","UNDEF","Existing",100000,0,
"c45d24InternalSteam","C45","D24","Steam",40000,"Nouryon","UNDEF","Existing",100000,0,
"c45d25InternalSteam","C45","D25","Steam",40000,"Shinetsu","UNDEF","Existing",100000,0,
"c51d26InternalHtheat","C51","D26","Htheat",40000,"Exxonmobil","UNDEF","Existing",100000,0,
"c52d26InternalSteam","C52","D26","Steam",40000,"Exxonmobil","UNDEF","Existing",100000,0,
"c52d26InternalElectricity","C52","D26","Electricity",74,"Exxonmobil","UNDEF","Existing",100000,0,
"c50d26InternalSteam","C50","D26","Steam",40000,"Exxonmobil","UNDEF","Existing",100000,0,
"c48d26InternalH2","C48","D26","H2",1000,"Airproducts","UNDEF","Existing",100000,0,
"c49d26InternalH2","C49","D26","H2",1000,"Exxonmobil","UNDEF","Existing",100000,0,
"AirliquideH2_5d26InternalH2","AirliquideH2_5","D26","H2",1000,"Airliquide","UNDEF","Existing",100000,0,
"GTS2dc44InternalGas","GTS2d","C44","Natgas",90,"GTS","UNDEF","Existing",100000,0,
"c44c46InternalElectricity","C44","C46","Electricity",90,"Nouryon","UNDEF","Existing",100000,0,
"GTS2dc45InternalGas","GTS2d","C45","Natgas",104,"GTS","UNDEF","Existing",100000,0,
"c46AirproductsH2_4InternalH2","C46","AirproductsH2_4","H2",1000,"Airproducts","UNDEF","Existing",100000,0,
"GTS2dc47InternalGas","GTS2d","C47","Natgas",85,"GTS","UNDEF","Existing",100000,0,
"c47d25InternalHtheat","C47","D25","Htheat",40000,"Shinetsu","UNDEF","Existing",100000,0,
"GTS2dc48InternalGas","GTS2d","C48","Natgas",560,"GTS","UNDEF","Existing",100000,0,
"GTSgrid2d","GTS1d","GTS2d","Natgas",8000,"GTS","UNDEF","Existing",100000,0,
"AirproductsH2_4d26","AirproductsH2_4","D26","H2",1000,"Airproducts","UNDEF","Existing",100000,0,
"StedinBotld27InternalElectricity","StedinBotl","D27","Electricity",13,"Stedin","UNDEF","Existing",100000,0,
"c53d27InternalSteam","C53","D27","Steam",40000,"Hexion_Bot","UNDEF","Existing",100000,0,
"StedinBotld28InternalElectricity","StedinBotl","D28","Electricity",13,"Stedin","UNDEF","Existing",100000,0,
"c54d28InternalHtheat","C54","D28","Htheat",40000,"Aluchemie","UNDEF","Existing",100000,0,
"c55d28InternalHtheat","C55","D28","Htheat",40000,"Aluchemie","UNDEF","Existing",100000,0,
"GTS3dc53InternalGas","GTS3d","C53","Natgas",5,"GTS","UNDEF","Existing",100000,0,
"GTS2dc54InternalGas","GTS2d","C54","Natgas",38,"GTS","UNDEF","Existing",100000,0,
"StedinVondeld29InternalElectricity","StedinVondel","D29","Electricity",13,"Shell","UNDEF","Existing",100000,0,
"c56d29InternalSteam","C56","D29","Steam",40000,"Cerexagri","UNDEF","Existing",100000,0,
"StedinVondeld30InternalElectricity","StedinVondel","D30","Electricity",13,"Shell","UNDEF","Existing",100000,0,
"c57d30InternalHtheat","C57","D30","Htheat",40000,"Cerexagri","UNDEF","Existing",100000,0,
"StedinVondelShelld31InternalElectricity","StedinVondel","D31","Electricity",13,"Shell","UNDEF","Existing",100000,0,
"c58d31InternalSteam","C58","D31","Steam",40000,"Wilmar","UNDEF","Existing",100000,0,
"StedinVondelShelld32InternalElectricity","StedinVondel","D32","Electricity",13,"Shell","UNDEF","Existing",100000,0,
"c59d32InternalSteam","C59","D32","Steam",40000,"Hexion_Per","UNDEF","Existing",100000,0,
"GTS2dc56InternalGas","GTS2d","C56","Natgas",1,"GTS","UNDEF","Existing",100000,0,
"GTS2dc57InternalGas","GTS2d","C57","Natgas",3,"GTS","UNDEF","Existing",100000,0,
"GTS2dc58InternalGas","GTS2d","C58","Natgas",9,"GTS","UNDEF","Existing",100000,0,
"GTS1dc59InternalGas","GTS1d","C59","Natgas",26,"GTS","UNDEF","Existing",100000,0,
"StedinVondeld33InternalElectricity","StedinVondel","D33","Electricity",30,"Shell","UNDEF","Existing",100000,0,
"c66StedinVondelInternalElectricity","C66","StedinVondel","Electricity",30,"Shell","UNDEF","Existing",100000,0,
"c67StedinVondelInternalElectricity","C67","StedinVondel","Electricity",30,"Shell","UNDEF","Existing",100000,0,
"c68StedinVondelInternalElectricity","C68","StedinVondel","Electricity",30,"Shell","UNDEF","Existing",100000,0,
"c63d33InternalElectricity","C63","D33","Electricity",288,"Airproducts","UNDEF","Existing",100000,0,
"c64d33InternalElectricity","C64","D33","Electricity",83,"Airproducts","UNDEF","Existing",100000,0,
"GTS1dc60Internalgas","GTS1d","C60","Natgas",939,"GTS","UNDEF","Existing",100000,0,
"GTS1dc61Internalgas","GTS1d","C61","Natgas",973,"GTS","UNDEF","Existing",100000,0,
"c72d33InternalHtheat","C72","D33","Htheat",40000,"Shell","UNDEF","Existing",100000,0,
"c73d33InternalHtheat","C73","D33","Htheat",40000,"Shell","UNDEF","Existing",100000,0,
"c74d33InternalHtheat","C74","D33","Htheat",40000,"Shell","UNDEF","Existing",100000,0,
"c63d33InternalSteam","C63","D33","Steam",40000,"Shell","UNDEF","Existing",100000,0,
"c64d33InternalSteam","C64","D33","Steam",40000,"Shell","UNDEF","Existing",100000,0,
"c69d33InternalSteam","C69","D33","Steam",40000,"Shell","UNDEF","Existing",100000,0,
"c70d33InternalSteam","C70","D33","Steam",40000,"Shell","UNDEF","Existing",100000,0,
"c71d33InternalSteam","C71","D33","Steam",40000,"Shell","UNDEF","Existing",100000,0,
"c62d33InternalH2","C62","D33","H2",1000,"Shell","UNDEF","Existing",100000,0,
"c65d33InternalH2","C65","D33","H2",1000,"Shell","UNDEF","Existing",100000,0,
"GTS1dc62Internalgas","GTS1d","C62","Natgas",370,"Shell","UNDEF","Existing",100000,0,
"Petcokessupplyc64InternalPetcokes","Petcokessupply","C64","Petcokes",40000,"Airproducts","UNDEF","Existing",100000,0,
"GTS1dc66Internalgas","GTS1d","C66","NatGas",43,"Shell","UNDEF","Existing",100000,0,
"Petcokessupplyc68InternalPetcokes","Petcokessupply","C68","Petcokes",40000,"Shell","UNDEF","Existing",100000,0,
"GTS1dc69Internalgas","GTS1d","C69","NatGas",31,"Shell","UNDEF","Existing",100000,0,
"Petcokessupplyc71InternalPetcokes","Petcokessupply","C71","Petcokes",40000,"Shell","UNDEF","Existing",100000,0,
"GTS1dc72Internalgas","GTS1d","C72","NatGas",225,"Shell","UNDEF","Existing",100000,0,
"Petcokessupplyc74InternalPetcokes","Petcokessupply","C74","Petcokes",40000,"Shell","UNDEF","Existing",100000,0,
"NatgassupplyGTS1eInternalgas","Natgassupply","GTS1e","Natgas",20000,"GTS","UNDEF","Existing",100000,0,
"Oilrestsupplyc65InternalOilrest","Oilrestsupply","C65","Oilrest",980,"Shell","UNDEF","Existing",100000,0,
"Resfuelsupplyc55InternalResfuel","Resfuelsupply","C55","Resfuel",13,"Aluchemie","UNDEF","Existing",100000,0,
"c3TenneT380MV_genInternalElectricity","C3","TenneT380MV_gen","Electricity",1375,"TenneT","UNDEF","Existing",100000,0,
"c6TenneT380MV_genInternalElectricity","C6","TenneT380MV_gen","Electricity",1000,"TenneT","UNDEF","Existing",100000,0,
"c13TenneT380MV_genInternalElectricity","C13","TenneT380MV_gen","Electricity",1088,"TenneT","UNDEF","Existing",100000,0,
"TenneT380MV_genTenneT380MV_lineInternalElectricity","TenneT380MV_gen","TenneT380MV_line","Electricity",40000,"TenneT","UNDEF","Existing",1,0,
"TenneT380MV_genTenneT380MV_transInternalElectricity","TenneT380MV_gen","TenneT380MV_trans","Electricity",40000,"TenneT","UNDEF","Existing",1,0,
"S4TenneT380MV_lineInternalElectricity","S4","TenneT380MV_line","Electricity",1000,"TenneT","UNDEF","Existing",100000,0,
"380kVgrid1","TenneT380MV_line","TenneT380Bleiswijk_line","Electricity",2900,"TenneT","UNDEF","Existing",49,0,"380kVgrid1"
"380kVgrid2","TenneT380MV_line","TenneT380Simonsh_line","Electricity",2900,"TenneT","UNDEF","Existing",23,0,
"TenneT380MV_lineTenneT380MV_transInternalElectricity","TenneT380MV_line","TenneT380MV_trans","Electricity",40000,"TenneT","UNDEF","Existing",1,0,
"150kVgrid1","TenneT380MV_trans","TenneT150MV_gen","Electricity",1000,"TenneT","UNDEF","Existing",4,0,
"C60TenneT380Simonsh_genInternalElectricity","C60","TenneT380Simonsh_gen","Electricity",535,"TenneT","UNDEF","Existing",100000,0,
"TenneT380Simonsh_genTenneT380Simonsh_transInternalElectricity","TenneT380Simonsh_gen","TenneT380Simonsh_trans","Electricity",40000,"TenneT","UNDEF","Existing",1,0,
"TenneT380Simonsh_genTenneT380Simonsh_lineInternalElectricity","TenneT380Simonsh_gen","TenneT380Simonsh_line","Electricity",40000,"TenneT","UNDEF","Existing",1,0,
