" Site's location within industrial cluster [MV_A/MV_B/EUR_A/EUR_B/EUR_C/BOT_A/BOT_B/PER]","Site ID [String]","Conversion asset ID [string] – Must be unique","Asset status (existing/   considered for construction/ planned for construction/ under construction / considered for decommissioning/planned for decommissioning/under decommissioning","Alternative for  asset (asset ID/UNDEF/0) IF 0 than completely new asset on site","Period option can be considered for construction (start year:end year)","Period of planned construction (start year:endyear)","Under construction period (start year:endyear)","Period option can be considered for disinvestment (start year:end year) or UNDEF","Duration of decommissioning (years) or UNDEF","X (center of site)","Y (center of site)","Asset description –  human readable form – [String]","Owner – {String]","Feedstocks of conversion assets– list of allowed strings, separated by : (Coal,Natgas, Refgas,Petcokes,Resfuel,Oilrest,Waste,Electricity,Steam:Htheat:Ltheat:H2]","Feedstocks input for conversion asset – MW, per feedstock, separated by :","Conversion efficiency to electricity [fraction], a list of numbers separated by : in the same order as the feedstocks field","Conversion efficiency to steam [fraction], , a list of numbers separated by : in the same order as the feedstocks field","Conversion efficiency to HT heat [fraction], , a list of numbers separated by : in the same order as the feedstocks field","Conversion efficiency to LT heat [fraction], , a list of numbers separated by : in the same order as the feedstocks field","Conversion efficiency to H2 [fraction], , a list of numbers separated by : in the same order as the feedstocks field","Conversion efficiency to Natgas [fraction], , a list of numbers separated by : in the same order as the feedstocks field","Utilization @ max. capacity [fraction of time], of conversion asset","CO2 emission factor [kg CO2/GJ feedstock], of conversion asset, seperated by : per feedstock type","Incoming Lines to conversion asset, list of unique strings of line names, separated by : WorldMarket , Environment if","Outgoing Lines from conversion asset, list of unique strings of line names, separated by : NULL if none, I.e. if  asset is demand","CAPEX (UNDEF / cost)","assetTypes","H2supplydemandcategory","connection_natgasnodes","Conversion efficiency to Coal [fraction], , a list of numbers separated by : in the same order as the feedstocks field","Conversion efficiency to Refgas [fraction], , a list of numbers separated by : in the same order as the feedstocks field","Conversion efficiency to Petcokes [fraction], , a list of numbers separated by : in the same order as the feedstocks field","Conversion efficiency to Resfuel [fraction], , a list of numbers separated by : in the same order as the feedstocks field","Conversion efficiency to Oilrest [fraction], , a list of numbers separated by : in the same order as the feedstocks field","Conversion efficiency to Waste [fraction], , a list of numbers separated by : in the same order as the feedstocks field","InvestID_electricity","InvestID_electricitystations"
"MV_B","Stedinsubstation_MVB","StedinMV","existing","UNDEF","UNDEF","UNDEF","UNDEF","UNDEF","UNDEF",61309.742,441615.119,"Substation_Stedin","Stedin","Electricity","240",1.00,0.00,0.00,0.00,0.00,0.00,0.73,0.00,"TenneT150MVStedinMV","StedinMVd1InternalElectricity:StedinMVd2InternalElectricity:StedinMV3d3InternalElectricity:StedinMVd39InternalElectricity","UNDEF",,,,0,0,0,0,0,0,,"Station_Stedin_extension"
"MV_B","SteamgridconnectionNesteLyondell_MVB","MV_Steam1","existing","UNDEF","UNDEF","UNDEF","UNDEF","UNDEF","UNDEF",61396.515,442885.535,"Connection_steamgrid","Uniper","Steam","305",0.00,1.00,0.00,0.00,0.00,0.00,0.97,0.00,"MV_Steamgrid","MV_Steam1d2InternalSteam:MV_Steam1d3InternalSteam","UNDEF",,,,0,0,0,0,0,0,,
"MV_B","SteamgridconnectionUniper_MVB","MV_Steam2","existing","UNDEF","UNDEF","UNDEF","UNDEF","UNDEF","UNDEF",60111.685,441103.292,"Connection_steamgrid","Uniper","Steam","305",0.00,1.00,0.00,0.00,0.00,0.00,0.73,0.00,"c4MV_Steam2InternalSteam:c5MV_Steam2InternalSteam","MV_Steamgrid","UNDEF",,,,0,0,0,0,0,0,,
"MV_B","AirliquideH2gridconnectionNeste_MVB","AirliquideH2_1","existing","UNDEF","UNDEF","UNDEF","UNDEF","UNDEF","UNDEF",62063.274,443086.719,"Connection_H2gridAirliquide","Airliquide","H2","149",0.00,0.00,0.00,0.00,1.00,0.00,0.91,0.00,"Airliquidegrid1","AirliquideH2_1d2InternalH2","UNDEF",,,,0,0,0,0,0,0,,
"Eur_A","BP_refinery_EurA","D4","existing","UNDEF","UNDEF","UNDEF","UNDEF","2025:2050",4,66754.863,440699.548,"Demand_BP_EurC","BP","Electricity:Htheat:Htheat:Htheat:Steam:Steam:Steam:H2:H2","115:120:453:130:74:278:79:159:13",0.00,0.00,0.00,0.00,0.00,0.00,0.74,0.00,"TenneT150Eurd4InternalElectricity:c7d4InternalHtheat:c8d4InternalHtheat:c9d4InternalHtheat:c10d4InternalSteam:c11d4InternalSteam:c12d4InternalSteam:AirliquideH2_2d4InternalH2","NULL","UNDEF",,"ChangecurrentH2demandc",,0,0,0,0,0,0,,
"Eur_A","Indorama_EurA","D5","existing","UNDEF","UNDEF","UNDEF","UNDEF","2030:2050",3,66411.963,442214.026,"Demand_Indorama_EurC","Indorama","Electricity:Steam","10:32",0.00,0.00,0.00,0.00,0.00,0.00,0.91,0.00,"c14d5InternalElectricity:c14d5InternalSteam","NULL","UNDEF",,,,0,0,0,0,0,0,,
"Eur_A","ADM_EurA","D6","existing","UNDEF","UNDEF","UNDEF","UNDEF","2030:2050",3,68085.191,441690.15,"Demand_ADM_EurC","ADM","Electricity:Steam:Steam","10:34:19",0.00,0.00,0.00,0.00,0.00,0.00,0.91,0.00,"c15d6InternalElectricity:c15d6InternalSteam:c16d6InternalSteam","NULL","UNDEF",,,,0,0,0,0,0,0,,
"Eur_A","BP_refinery_EurA","C7","existing","UNDEF","UNDEF","UNDEF","UNDEF","2025:2035",2,66754.863,440699.548,"Natgas_furnace","BP","Natgas","150",0.00,0.80,0.00,0.00,0.00,0.00,0.74,56.60,"GTS2cc7InternalGas","c7d4InternalHtheat","UNDEF","Furnace","ChangecurrentH2demandc","GTS2c",0,0,0,0,0,0,,
"Eur_A","BP_refinery_EurA","C8","existing","UNDEF","UNDEF","UNDEF","UNDEF","2030:2050",2,66754.863,440699.548,"Refgas_furnaceBP","BP","Refgas","566",0.00,0.80,0.00,0.00,0.00,0.00,0.74,67.00,"Refgassupplyc8InternalRefgas","c8d4InternalHtheat","UNDEF","Furnace","ChangecurrentH2demandc",,0,0,0,0,0,0,,
"Eur_A","BP_refinery_EurA","C9","existing","UNDEF","UNDEF","UNDEF","UNDEF","2030:2050",2,66754.863,440699.548,"Petcoke_furnaceBP","BP","Petcokes","162",0.00,0.80,0.00,0.00,0.00,0.00,0.74,97.50,"Petcokessupplyc9InternalPetcokes","c9d4InternalHtheat","UNDEF","Furnace","ChangecurrentH2demandc",,0,0,0,0,0,0,,
